"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","response"
"5562",41,"employed","single","high.school","no","no","no","telephone","may","mon",168,1,"no"
"5565",39,"employed","married","university.degree","no","yes","no","telephone","may","mon",14,32,"no"
"5567",36,"employed","married","high.school","no","yes","no","telephone","may","mon",262,1,"no"
"5568",44,"employed","married","high.school","no","yes","no","telephone","may","mon",96,2,"no"
"5570",47,"employed","divorced","university.degree","no","yes","no","telephone","may","mon",208,2,"no"
"5571",44,"employed","married","high.school","no","yes","yes","telephone","may","mon",483,1,"no"
"5573",42,"employed","married","basic","no","yes","no","telephone","may","mon",130,1,"no"
"5574",44,"employed","married","professional.course","no","no","no","telephone","may","mon",754,1,"no"
"5575",59,"non-labor","divorced","professional.course","no","no","no","telephone","may","mon",113,1,"no"
"5576",42,"employed","married","basic","no","yes","no","telephone","may","mon",364,1,"no"
"5578",36,"employed","married","university.degree","no","no","no","telephone","may","mon",227,1,"no"
"5579",42,"employed","married","basic","no","no","no","telephone","may","mon",266,3,"no"
"5580",49,"employed","married","professional.course","no","yes","no","telephone","may","mon",232,1,"no"
"5581",37,"employed","married","university.degree","no","no","no","telephone","may","mon",172,1,"no"
"5582",45,"employed","married","basic","no","no","no","telephone","may","mon",164,1,"no"
"5584",46,"employed","married","university.degree","no","no","no","telephone","may","mon",103,1,"no"
"5586",39,"employed","married","basic","no","yes","no","telephone","may","mon",297,1,"no"
"5588",35,"employed","single","high.school","no","no","no","telephone","may","mon",388,1,"no"
"5591",37,"employed","married","high.school","no","no","no","telephone","may","mon",63,1,"no"
"5592",49,"employed","married","university.degree","no","yes","no","telephone","may","mon",212,1,"no"
"5593",37,"employed","married","high.school","no","yes","no","telephone","may","mon",149,1,"no"
"5594",40,"employed","married","high.school","no","yes","no","telephone","may","mon",161,3,"no"
"5595",34,"employed","married","university.degree","no","no","yes","telephone","may","mon",165,2,"no"
"5597",38,"employed","married","basic","no","yes","no","telephone","may","mon",170,2,"no"
"5598",43,"employed","divorced","high.school","no","no","no","telephone","may","mon",974,1,"no"
"5601",33,"employed","married","university.degree","no","no","no","telephone","may","mon",96,1,"no"
"5603",30,"employed","single","university.degree","no","yes","no","telephone","may","mon",140,2,"no"
"5605",24,"employed","married","high.school","no","no","yes","telephone","may","mon",61,1,"no"
"5606",26,"employed","single","high.school","no","yes","no","telephone","may","mon",252,1,"no"
"5610",32,"employed","married","basic","no","yes","no","telephone","may","mon",262,2,"no"
"5611",38,"employed","married","university.degree","no","no","yes","telephone","may","mon",206,1,"no"
"5612",50,"employed","married","high.school","no","yes","no","telephone","may","mon",248,1,"no"
"5614",56,"employed","married","professional.course","no","yes","no","telephone","may","mon",621,4,"yes"
"5615",45,"employed","married","basic","no","no","no","telephone","may","mon",367,2,"no"
"5616",35,"employed","married","high.school","no","no","yes","telephone","may","mon",116,1,"no"
"5617",46,"employed","divorced","university.degree","no","yes","no","telephone","may","mon",115,1,"no"
"5620",58,"employed","single","university.degree","no","no","no","telephone","may","mon",543,2,"yes"
"5624",43,"employed","married","high.school","no","no","no","telephone","may","mon",77,1,"no"
"5625",28,"employed","single","high.school","no","no","yes","telephone","may","mon",200,1,"no"
"5629",29,"employed","married","university.degree","no","yes","no","telephone","may","mon",90,4,"no"
"5630",44,"employed","divorced","high.school","no","no","no","telephone","may","mon",470,1,"no"
"5631",30,"employed","married","high.school","no","no","no","telephone","may","mon",302,1,"no"
"5632",26,"employed","divorced","basic","no","no","yes","telephone","may","mon",81,8,"no"
"5638",39,"employed","single","high.school","no","yes","no","telephone","may","mon",247,1,"no"
"5639",29,"non-labor","single","high.school","no","no","yes","telephone","may","mon",630,1,"yes"
"5640",32,"employed","single","professional.course","no","yes","no","telephone","may","mon",16,11,"no"
"5641",41,"employed","married","high.school","no","no","yes","telephone","may","mon",863,1,"no"
"5644",39,"employed","married","university.degree","no","no","no","telephone","may","mon",104,1,"no"
"5647",44,"employed","married","high.school","no","yes","no","telephone","may","mon",592,4,"no"
"5648",36,"employed","married","basic","no","no","no","telephone","may","mon",85,1,"no"
"5649",24,"employed","married","professional.course","no","yes","no","telephone","may","mon",153,3,"no"
"5652",35,"non-labor","single","high.school","no","yes","yes","telephone","may","mon",127,1,"no"
"5656",40,"employed","single","university.degree","no","yes","yes","telephone","may","mon",190,2,"no"
"5658",32,"employed","single","university.degree","no","no","no","telephone","may","mon",112,1,"no"
"5660",26,"employed","single","high.school","no","yes","no","telephone","may","mon",130,1,"no"
"5661",56,"non-labor","married","high.school","no","yes","no","telephone","may","mon",167,3,"no"
"5666",35,"employed","married","university.degree","no","no","no","telephone","may","mon",293,1,"no"
"5667",34,"employed","married","high.school","no","no","no","telephone","may","mon",97,3,"no"
"5671",54,"non-labor","married","basic","no","no","yes","telephone","may","mon",596,1,"no"
"5672",43,"employed","married","professional.course","no","yes","no","telephone","may","mon",134,1,"no"
"5673",28,"employed","single","university.degree","no","no","no","telephone","may","mon",108,1,"no"
"5675",44,"employed","single","high.school","no","no","yes","telephone","may","mon",65,1,"no"
"5677",58,"employed","married","university.degree","no","no","yes","telephone","may","mon",312,1,"no"
"5678",31,"employed","single","university.degree","no","no","no","telephone","may","mon",237,1,"no"
"5679",37,"employed","married","basic","no","no","no","telephone","may","mon",130,1,"no"
"5680",52,"employed","divorced","high.school","no","no","no","telephone","may","mon",314,2,"no"
"5681",36,"employed","married","professional.course","no","no","no","telephone","may","mon",175,2,"no"
"5682",31,"employed","single","basic","no","yes","no","telephone","may","mon",87,2,"no"
"5683",30,"employed","married","basic","no","yes","no","telephone","may","mon",123,14,"no"
"5687",41,"employed","divorced","basic","no","yes","yes","telephone","may","mon",240,2,"no"
"5688",26,"employed","single","high.school","no","yes","no","telephone","may","mon",109,7,"no"
"5689",38,"employed","single","university.degree","no","no","no","telephone","may","mon",243,6,"no"
"5690",44,"unemployed","married","basic","no","yes","yes","telephone","may","mon",536,1,"no"
"5691",28,"employed","single","basic","no","yes","no","telephone","may","mon",120,1,"no"
"5692",29,"employed","married","university.degree","no","no","no","telephone","may","mon",182,5,"no"
"5695",35,"employed","married","university.degree","no","yes","yes","telephone","may","mon",280,3,"no"
"5696",50,"employed","married","basic","no","yes","no","telephone","may","mon",215,2,"no"
"5697",33,"employed","divorced","professional.course","no","yes","no","telephone","may","mon",147,3,"no"
"5698",57,"employed","divorced","university.degree","no","no","no","telephone","may","mon",222,2,"no"
"5699",28,"employed","single","basic","no","no","no","telephone","may","mon",404,1,"no"
"5700",58,"employed","single","university.degree","no","no","no","telephone","may","mon",1234,3,"yes"
"5701",50,"employed","single","basic","no","yes","no","telephone","may","mon",306,3,"no"
"5703",30,"employed","single","university.degree","no","yes","no","telephone","may","mon",255,1,"no"
"5704",48,"employed","divorced","university.degree","no","yes","no","telephone","may","mon",252,2,"no"
"5705",43,"employed","married","high.school","no","no","yes","telephone","may","mon",127,2,"no"
"5706",39,"employed","single","university.degree","no","no","no","telephone","may","mon",140,2,"no"
"5707",39,"employed","married","high.school","no","no","no","telephone","may","mon",200,2,"no"
"5708",43,"employed","married","high.school","no","yes","yes","telephone","may","mon",642,2,"yes"
"5710",36,"employed","married","university.degree","no","yes","no","telephone","may","mon",127,2,"no"
"5711",29,"employed","single","high.school","no","no","no","telephone","may","mon",171,1,"no"
"5713",31,"employed","married","basic","no","yes","yes","telephone","may","mon",629,2,"no"
"5714",43,"employed","married","basic","no","yes","no","telephone","may","mon",155,6,"no"
"5715",46,"employed","married","professional.course","no","no","no","telephone","may","mon",290,2,"no"
"5716",45,"employed","married","basic","no","no","no","telephone","may","mon",159,3,"no"
"5717",30,"employed","married","high.school","no","no","no","telephone","may","mon",111,1,"no"
"5719",30,"employed","married","high.school","no","yes","no","telephone","may","mon",434,4,"no"
"5720",46,"employed","single","high.school","no","no","no","telephone","may","mon",218,2,"no"
"5722",49,"employed","married","university.degree","no","no","no","telephone","may","mon",107,3,"no"
"5723",38,"employed","single","high.school","no","yes","no","telephone","may","mon",272,6,"no"
"5724",58,"employed","married","high.school","no","yes","no","telephone","may","mon",574,3,"no"
"5725",33,"employed","married","university.degree","no","yes","no","telephone","may","mon",89,3,"no"
"5726",33,"employed","divorced","professional.course","no","no","no","telephone","may","mon",133,3,"no"
"5727",31,"employed","single","high.school","no","no","no","telephone","may","mon",114,3,"no"
"5728",39,"employed","married","university.degree","no","yes","no","telephone","may","mon",175,3,"no"
"5729",30,"employed","married","basic","no","yes","no","telephone","may","mon",257,3,"no"
"5731",35,"employed","married","high.school","no","no","yes","telephone","may","mon",208,3,"no"
"5734",57,"employed","married","university.degree","no","no","yes","telephone","may","mon",327,1,"no"
"5735",34,"employed","married","basic","no","no","yes","telephone","may","mon",99,3,"no"
"5736",30,"employed","single","university.degree","no","no","no","telephone","may","mon",293,4,"no"
"5737",40,"employed","married","professional.course","no","yes","no","telephone","may","mon",68,3,"no"
"5738",37,"employed","married","high.school","no","yes","no","telephone","may","mon",124,2,"no"
"5740",40,"employed","married","high.school","no","no","yes","telephone","may","mon",150,1,"no"
"5741",42,"employed","single","basic","no","no","no","telephone","may","mon",504,2,"no"
"5744",41,"employed","married","high.school","no","no","yes","telephone","may","mon",16,1,"no"
"5745",31,"employed","married","university.degree","no","no","no","telephone","may","mon",100,8,"no"
"5746",29,"employed","single","high.school","no","no","yes","telephone","may","mon",321,1,"no"
"5748",33,"employed","married","professional.course","no","no","no","telephone","may","mon",614,2,"no"
"5750",27,"employed","single","basic","no","no","no","telephone","may","mon",93,2,"no"
"5751",35,"employed","single","high.school","no","yes","no","telephone","may","mon",355,2,"no"
"5752",31,"employed","single","university.degree","no","no","yes","telephone","may","mon",177,1,"no"
"5753",37,"employed","married","university.degree","no","yes","no","telephone","may","mon",245,3,"no"
"5754",48,"employed","married","university.degree","no","yes","no","telephone","may","mon",121,1,"no"
"5755",37,"employed","single","high.school","no","yes","no","telephone","may","mon",192,6,"no"
"5756",33,"employed","divorced","professional.course","no","yes","no","telephone","may","mon",110,2,"no"
"5757",40,"employed","married","high.school","no","no","no","telephone","may","mon",160,3,"no"
"5758",29,"employed","married","basic","no","yes","no","telephone","may","mon",249,2,"no"
"5762",35,"employed","married","basic","no","no","no","telephone","may","mon",131,1,"no"
"5764",35,"employed","married","university.degree","no","no","no","telephone","may","mon",349,2,"no"
"5765",35,"employed","married","high.school","no","no","yes","telephone","may","mon",114,2,"no"
"5766",38,"employed","married","basic","no","yes","no","telephone","may","mon",445,2,"no"
"5767",46,"employed","divorced","professional.course","no","yes","no","telephone","may","mon",144,3,"no"
"5768",35,"employed","married","professional.course","no","no","no","telephone","may","mon",341,12,"no"
"5769",41,"employed","married","university.degree","no","yes","no","telephone","may","mon",796,1,"no"
"5771",47,"employed","married","basic","no","no","no","telephone","may","mon",126,2,"no"
"5772",28,"employed","single","basic","no","yes","no","telephone","may","mon",101,2,"no"
"5773",35,"employed","married","basic","no","no","no","telephone","may","mon",91,2,"no"
"5774",34,"employed","single","high.school","no","no","no","telephone","may","mon",52,3,"no"
"5775",25,"employed","single","university.degree","no","no","no","telephone","may","mon",78,2,"no"
"5776",33,"employed","single","university.degree","no","no","yes","telephone","may","mon",471,1,"no"
"5780",33,"employed","married","high.school","no","no","no","telephone","may","mon",333,1,"no"
"5781",39,"employed","married","university.degree","no","no","no","telephone","may","mon",431,2,"yes"
"5784",35,"employed","divorced","university.degree","no","no","no","telephone","may","mon",695,4,"no"
"5788",35,"employed","married","basic","no","no","no","telephone","may","mon",70,6,"no"
"5791",36,"employed","single","professional.course","no","yes","no","telephone","may","mon",113,4,"no"
"5792",33,"employed","single","basic","no","no","no","telephone","may","mon",372,14,"no"
"5793",27,"employed","single","basic","no","no","no","telephone","may","mon",603,1,"no"
"5794",41,"employed","single","high.school","no","yes","no","telephone","may","mon",85,2,"no"
"5795",36,"employed","married","high.school","no","no","no","telephone","may","mon",76,2,"no"
"5799",30,"employed","married","basic","no","no","yes","telephone","may","mon",535,6,"no"
"5801",58,"employed","married","basic","no","yes","no","telephone","may","mon",48,2,"no"
"5802",43,"employed","married","university.degree","no","yes","no","telephone","may","mon",114,2,"no"
"5804",31,"unemployed","married","professional.course","no","yes","yes","telephone","may","mon",169,4,"no"
"5805",30,"employed","single","professional.course","no","yes","no","telephone","may","mon",116,4,"no"
"5806",31,"employed","single","high.school","no","yes","no","telephone","may","mon",100,2,"no"
"5807",30,"employed","married","university.degree","no","no","no","telephone","may","mon",212,2,"no"
"5808",42,"employed","married","high.school","no","yes","no","telephone","may","mon",304,4,"no"
"5810",31,"employed","married","high.school","no","no","no","telephone","may","mon",102,2,"no"
"5813",43,"employed","married","high.school","no","no","no","telephone","may","mon",207,2,"no"
"5814",58,"employed","married","basic","no","yes","no","telephone","may","mon",197,2,"no"
"5817",31,"employed","single","university.degree","no","yes","no","telephone","may","mon",125,6,"no"
"5818",28,"employed","married","high.school","no","yes","yes","telephone","may","mon",114,2,"no"
"5819",38,"employed","single","university.degree","no","no","no","telephone","may","mon",414,2,"yes"
"5820",35,"employed","single","high.school","no","yes","no","telephone","may","mon",319,4,"no"
"5822",30,"employed","single","basic","no","yes","no","telephone","may","mon",157,3,"no"
"5823",52,"employed","married","professional.course","no","no","no","telephone","may","mon",160,11,"no"
"5824",47,"employed","married","basic","no","no","no","telephone","may","mon",83,3,"no"
"5826",36,"employed","married","basic","no","no","no","telephone","may","mon",98,4,"no"
"5827",36,"employed","married","high.school","no","yes","no","telephone","may","mon",133,4,"no"
"5828",31,"employed","single","university.degree","no","yes","no","telephone","may","mon",451,2,"no"
"5829",36,"employed","married","high.school","no","no","no","telephone","may","mon",34,3,"no"
"5830",34,"employed","married","university.degree","no","no","no","telephone","may","mon",79,5,"no"
"5831",32,"employed","married","basic","no","no","no","telephone","may","mon",109,2,"no"
"5833",32,"employed","single","university.degree","no","no","no","telephone","may","mon",251,3,"no"
"5834",51,"employed","divorced","university.degree","no","no","no","telephone","may","mon",122,5,"no"
"5837",28,"employed","single","university.degree","no","yes","no","telephone","may","mon",87,2,"no"
"5840",54,"employed","divorced","university.degree","no","yes","yes","telephone","may","mon",375,2,"no"
"5841",59,"employed","married","professional.course","no","no","no","telephone","may","mon",51,2,"no"
"5843",33,"employed","single","high.school","no","no","no","telephone","may","mon",178,5,"no"
"5844",35,"employed","married","high.school","no","no","no","telephone","may","mon",165,5,"no"
"5845",48,"employed","married","university.degree","no","no","no","telephone","may","mon",155,2,"no"
"5846",50,"employed","divorced","professional.course","no","no","no","telephone","may","mon",173,3,"no"
"5847",29,"employed","married","high.school","no","no","no","telephone","may","mon",304,4,"no"
"5848",39,"employed","married","university.degree","no","no","no","telephone","may","mon",583,6,"no"
"5849",36,"employed","married","university.degree","no","yes","no","telephone","may","mon",138,2,"no"
"5853",28,"employed","married","basic","no","no","no","telephone","may","mon",896,3,"yes"
"5854",35,"employed","married","high.school","no","yes","yes","telephone","may","mon",83,1,"no"
"5855",38,"employed","married","university.degree","no","no","no","telephone","may","mon",543,4,"no"
"5857",34,"employed","married","basic","no","no","no","telephone","may","mon",158,4,"no"
"5858",45,"employed","married","basic","no","yes","no","telephone","may","mon",365,3,"no"
"5860",38,"employed","single","basic","no","no","no","telephone","may","mon",118,6,"no"
"5861",33,"employed","single","professional.course","no","yes","yes","telephone","may","mon",469,2,"no"
"5862",31,"employed","divorced","high.school","no","no","no","telephone","may","mon",488,3,"no"
"5863",32,"employed","married","high.school","no","no","no","telephone","may","mon",232,3,"no"
"5864",24,"employed","married","basic","no","yes","no","telephone","may","mon",764,2,"yes"
"5865",55,"employed","married","university.degree","no","yes","yes","telephone","may","mon",411,3,"no"
"5867",37,"employed","divorced","high.school","no","yes","no","telephone","may","mon",63,3,"no"
"5869",34,"employed","married","professional.course","no","yes","yes","telephone","may","mon",207,4,"no"
"5870",36,"employed","divorced","high.school","no","yes","no","telephone","may","mon",84,3,"no"
"5872",39,"employed","married","basic","no","yes","yes","telephone","may","mon",162,4,"no"
"5873",31,"employed","single","high.school","no","yes","no","telephone","may","mon",159,2,"no"
"5875",34,"employed","married","university.degree","no","yes","yes","telephone","may","mon",147,6,"no"
"5876",32,"employed","married","basic","no","no","no","telephone","may","mon",90,5,"no"
"5877",35,"employed","married","professional.course","no","no","no","telephone","may","mon",409,2,"no"
"5879",44,"employed","married","high.school","no","yes","no","telephone","may","mon",175,5,"no"
"5880",38,"employed","married","high.school","no","no","no","telephone","may","mon",219,4,"no"
"5881",37,"employed","single","high.school","no","no","no","telephone","may","mon",96,5,"no"
"5884",30,"employed","single","high.school","no","no","no","telephone","may","mon",113,5,"no"
"5885",31,"employed","single","university.degree","no","yes","yes","telephone","may","mon",232,5,"no"
"5888",29,"employed","divorced","high.school","no","no","yes","telephone","may","mon",251,11,"no"
"5890",52,"employed","married","basic","no","yes","no","telephone","may","mon",253,2,"no"
"5893",32,"employed","single","professional.course","no","no","no","telephone","may","mon",118,2,"no"
"5894",47,"employed","married","basic","no","yes","no","telephone","may","mon",140,2,"no"
"5895",39,"employed","married","university.degree","no","no","no","telephone","may","mon",102,22,"no"
"5896",38,"non-labor","single","university.degree","no","yes","no","telephone","may","mon",763,6,"no"
"5897",30,"employed","married","basic","no","no","no","telephone","may","mon",97,4,"no"
"5898",32,"employed","married","basic","no","no","no","telephone","may","mon",41,2,"no"
"5900",27,"employed","married","basic","no","yes","no","telephone","may","mon",51,5,"no"
"5902",46,"employed","married","basic","no","no","no","telephone","may","mon",241,2,"no"
"5903",54,"non-labor","divorced","high.school","no","yes","no","telephone","may","mon",308,4,"no"
"5904",35,"employed","married","basic","no","yes","no","telephone","may","mon",118,2,"no"
"5905",33,"employed","single","university.degree","no","no","no","telephone","may","mon",14,16,"no"
"5906",37,"employed","divorced","high.school","no","yes","yes","telephone","may","mon",125,4,"no"
"5907",41,"employed","single","high.school","no","yes","no","telephone","may","mon",193,5,"no"
"5908",44,"employed","married","professional.course","no","yes","no","telephone","may","mon",200,3,"no"
"5909",33,"employed","married","professional.course","no","yes","no","telephone","may","mon",349,4,"no"
"5910",49,"employed","divorced","basic","no","yes","yes","telephone","may","mon",282,3,"no"
"5911",23,"employed","married","basic","no","no","no","telephone","may","mon",633,1,"no"
"5912",49,"employed","married","high.school","no","no","no","telephone","may","mon",560,4,"no"
"5913",38,"employed","married","professional.course","no","yes","no","telephone","may","tue",114,3,"no"
"5914",37,"employed","married","high.school","no","yes","yes","telephone","may","tue",172,7,"no"
"5915",39,"employed","married","professional.course","no","yes","no","telephone","may","tue",292,7,"no"
"5916",43,"employed","married","basic","no","yes","no","telephone","may","tue",269,3,"no"
"5919",44,"employed","single","basic","no","no","yes","telephone","may","tue",73,6,"no"
"5920",40,"employed","married","high.school","no","no","yes","telephone","may","tue",121,2,"no"
"5921",41,"employed","married","high.school","no","yes","no","telephone","may","tue",59,4,"no"
"5922",32,"employed","married","university.degree","no","yes","no","telephone","may","tue",64,3,"no"
"5924",38,"employed","married","university.degree","no","no","no","telephone","may","tue",322,5,"no"
"5926",41,"employed","married","basic","no","no","no","telephone","may","tue",163,2,"no"
"5927",52,"employed","divorced","university.degree","no","no","no","telephone","may","tue",99,3,"no"
"5929",34,"employed","single","professional.course","no","yes","no","telephone","may","tue",119,2,"no"
"5930",56,"employed","married","university.degree","no","yes","no","telephone","may","tue",148,4,"no"
"5931",51,"employed","single","basic","no","no","no","telephone","may","tue",222,4,"no"
"5932",40,"employed","married","high.school","no","yes","yes","telephone","may","tue",265,2,"no"
"5933",39,"employed","married","basic","no","yes","no","telephone","may","tue",214,2,"no"
"5935",28,"employed","single","university.degree","no","no","no","telephone","may","tue",75,2,"no"
"5936",32,"employed","married","high.school","no","yes","yes","telephone","may","tue",62,4,"no"
"5937",38,"employed","single","high.school","no","no","no","telephone","may","tue",112,3,"no"
"5938",46,"employed","married","basic","no","yes","no","telephone","may","tue",220,6,"no"
"5940",37,"employed","married","professional.course","no","yes","no","telephone","may","tue",160,6,"no"
"5942",30,"employed","married","high.school","no","yes","no","telephone","may","tue",129,1,"no"
"5944",34,"employed","married","basic","no","yes","no","telephone","may","tue",578,2,"no"
"5945",46,"employed","divorced","basic","no","no","no","telephone","may","tue",183,9,"no"
"5946",37,"employed","married","basic","no","no","no","telephone","may","tue",565,2,"no"
"5947",24,"employed","married","basic","no","no","no","telephone","may","tue",154,1,"no"
"5948",30,"employed","married","basic","no","yes","yes","telephone","may","tue",125,1,"no"
"5950",36,"employed","married","high.school","no","yes","no","telephone","may","tue",111,1,"no"
"5951",48,"employed","married","professional.course","no","yes","yes","telephone","may","tue",231,1,"no"
"5952",47,"employed","married","professional.course","no","no","no","telephone","may","tue",195,1,"no"
"5954",36,"employed","single","high.school","no","yes","yes","telephone","may","tue",193,5,"no"
"5955",38,"employed","married","basic","no","no","no","telephone","may","tue",287,4,"no"
"5957",30,"employed","single","professional.course","no","no","no","telephone","may","tue",84,4,"no"
"5958",38,"employed","married","university.degree","no","yes","no","telephone","may","tue",47,5,"no"
"5960",37,"employed","married","basic","no","yes","no","telephone","may","tue",130,2,"no"
"5961",43,"employed","married","high.school","no","no","no","telephone","may","tue",24,1,"no"
"5962",32,"employed","married","basic","no","yes","no","telephone","may","tue",955,1,"no"
"5964",41,"employed","married","university.degree","no","yes","no","telephone","may","tue",336,2,"no"
"5966",31,"employed","married","professional.course","no","no","no","telephone","may","tue",159,1,"no"
"5967",28,"employed","married","basic","no","yes","no","telephone","may","tue",180,1,"no"
"5968",50,"employed","married","basic","no","no","no","telephone","may","tue",163,2,"no"
"5969",35,"employed","married","basic","no","no","no","telephone","may","tue",197,1,"no"
"5970",39,"employed","married","basic","no","no","no","telephone","may","tue",218,1,"no"
"5971",40,"employed","married","basic","no","yes","no","telephone","may","tue",34,3,"no"
"5972",34,"employed","single","high.school","no","yes","no","telephone","may","tue",386,11,"no"
"5973",27,"non-labor","single","university.degree","no","yes","no","telephone","may","tue",154,1,"no"
"5974",33,"employed","married","basic","no","no","yes","telephone","may","tue",159,2,"no"
"5975",39,"employed","married","basic","no","no","no","telephone","may","tue",157,2,"no"
"5976",39,"employed","married","basic","no","yes","no","telephone","may","tue",227,3,"no"
"5977",43,"employed","married","basic","no","no","no","telephone","may","tue",116,1,"no"
"5978",26,"employed","married","professional.course","no","no","no","telephone","may","tue",205,3,"no"
"5979",42,"employed","married","professional.course","no","yes","no","telephone","may","tue",1205,1,"yes"
"5980",36,"employed","married","university.degree","no","yes","no","telephone","may","tue",133,1,"no"
"5981",40,"employed","married","high.school","no","yes","no","telephone","may","tue",59,1,"no"
"5982",50,"employed","married","basic","no","yes","no","telephone","may","tue",229,2,"no"
"5983",46,"employed","single","high.school","no","yes","no","telephone","may","tue",147,1,"no"
"5985",40,"employed","single","high.school","no","yes","no","telephone","may","tue",179,1,"no"
"5986",28,"employed","single","high.school","no","yes","no","telephone","may","tue",185,1,"no"
"5987",34,"employed","married","basic","no","no","no","telephone","may","tue",427,1,"no"
"5988",51,"unemployed","married","professional.course","no","no","no","telephone","may","tue",171,3,"no"
"5989",32,"employed","single","high.school","no","yes","no","telephone","may","tue",237,1,"no"
"5992",34,"employed","single","basic","no","no","no","telephone","may","tue",156,2,"no"
"5993",34,"employed","married","university.degree","no","no","no","telephone","may","tue",162,1,"no"
"5994",31,"employed","single","basic","no","no","no","telephone","may","tue",674,1,"no"
"5997",29,"employed","married","high.school","no","yes","no","telephone","may","tue",275,1,"no"
"5999",29,"employed","single","university.degree","no","yes","no","telephone","may","tue",1051,1,"yes"
"6000",27,"employed","single","university.degree","no","yes","no","telephone","may","tue",142,1,"no"
"6002",49,"employed","married","professional.course","no","yes","no","telephone","may","tue",340,1,"no"
"6005",39,"employed","married","university.degree","no","yes","no","telephone","may","tue",260,1,"no"
"6006",31,"employed","single","high.school","no","no","no","telephone","may","tue",35,1,"no"
"6007",46,"employed","married","basic","no","no","no","telephone","may","tue",121,1,"no"
"6008",44,"employed","married","university.degree","no","yes","no","telephone","may","tue",143,1,"no"
"6009",33,"employed","single","basic","no","no","no","telephone","may","tue",472,1,"no"
"6010",35,"employed","married","professional.course","no","yes","yes","telephone","may","tue",207,2,"no"
"6011",38,"unemployed","single","high.school","no","yes","no","telephone","may","tue",597,3,"no"
"6012",33,"employed","married","high.school","no","yes","yes","telephone","may","tue",274,1,"no"
"6013",41,"employed","married","basic","no","yes","no","telephone","may","tue",420,1,"no"
"6016",35,"employed","married","high.school","no","no","no","telephone","may","tue",62,4,"no"
"6017",24,"employed","single","high.school","no","no","no","telephone","may","tue",185,1,"no"
"6018",25,"employed","married","high.school","no","yes","yes","telephone","may","tue",275,4,"no"
"6019",34,"employed","married","basic","no","no","no","telephone","may","tue",740,1,"yes"
"6020",34,"employed","married","university.degree","no","no","no","telephone","may","tue",111,10,"no"
"6021",31,"employed","divorced","high.school","no","no","no","telephone","may","tue",271,3,"no"
"6022",38,"employed","married","high.school","no","no","no","telephone","may","tue",776,1,"no"
"6023",26,"employed","single","university.degree","no","no","no","telephone","may","tue",90,2,"no"
"6026",29,"employed","single","basic","no","yes","no","telephone","may","tue",330,2,"no"
"6028",50,"employed","married","basic","no","no","no","telephone","may","tue",243,2,"no"
"6030",27,"employed","single","professional.course","no","no","no","telephone","may","tue",148,1,"no"
"6031",34,"employed","married","high.school","no","no","no","telephone","may","tue",514,1,"no"
"6033",43,"employed","married","basic","no","yes","no","telephone","may","tue",224,1,"no"
"6034",37,"unemployed","married","professional.course","no","no","no","telephone","may","tue",118,1,"no"
"6035",45,"employed","married","basic","no","no","no","telephone","may","tue",255,1,"no"
"6036",30,"employed","single","professional.course","no","no","no","telephone","may","tue",70,3,"no"
"6037",43,"employed","married","basic","no","yes","no","telephone","may","tue",296,2,"no"
"6039",47,"employed","divorced","high.school","no","yes","no","telephone","may","tue",313,1,"no"
"6040",53,"employed","married","basic","no","yes","no","telephone","may","tue",257,1,"no"
"6042",47,"employed","married","basic","no","yes","no","telephone","may","tue",77,1,"no"
"6043",37,"employed","single","university.degree","no","yes","no","telephone","may","tue",114,1,"no"
"6044",41,"employed","married","basic","no","no","no","telephone","may","tue",73,2,"no"
"6047",26,"employed","single","professional.course","no","no","no","telephone","may","tue",126,1,"no"
"6048",31,"employed","divorced","high.school","no","yes","no","telephone","may","tue",168,1,"no"
"6049",36,"employed","single","high.school","no","yes","yes","telephone","may","tue",188,1,"no"
"6050",46,"employed","married","basic","no","no","no","telephone","may","tue",106,2,"no"
"6051",50,"employed","divorced","high.school","no","no","no","telephone","may","tue",45,1,"no"
"6052",45,"employed","married","basic","no","yes","yes","telephone","may","tue",25,1,"no"
"6053",45,"employed","married","basic","no","yes","no","telephone","may","tue",114,1,"no"
"6055",29,"employed","single","university.degree","no","yes","no","telephone","may","tue",33,1,"no"
"6057",26,"employed","single","professional.course","no","no","no","telephone","may","tue",446,1,"no"
"6059",45,"employed","single","professional.course","no","yes","no","telephone","may","tue",121,4,"no"
"6060",46,"employed","divorced","high.school","no","yes","no","telephone","may","tue",78,1,"no"
"6062",37,"employed","single","professional.course","no","yes","no","telephone","may","tue",213,2,"no"
"6063",46,"employed","married","basic","no","no","no","telephone","may","tue",115,1,"no"
"6064",42,"employed","divorced","university.degree","no","no","no","telephone","may","tue",305,1,"no"
"6065",25,"employed","single","basic","no","no","no","telephone","may","tue",19,1,"no"
"6066",45,"employed","single","basic","no","no","no","telephone","may","tue",643,2,"no"
"6067",40,"employed","single","high.school","no","no","no","telephone","may","tue",371,2,"no"
"6069",49,"employed","married","basic","no","no","no","telephone","may","tue",384,1,"no"
"6070",51,"employed","single","university.degree","no","yes","no","telephone","may","tue",492,2,"no"
"6072",35,"employed","married","high.school","no","no","no","telephone","may","tue",144,1,"no"
"6074",32,"employed","married","high.school","no","no","no","telephone","may","tue",181,1,"no"
